office_name,office_address,gym_name,gym_address,distance_metres,walk_time_mins,gym_latitude,gym_longitude,crow_flies_distance_metres
Clerkenwell Workshops,EC1R 0AT,PureGym London Farringdon,"31-35 Farringdon Rd, London EC1M 3JF",650,9,51.519901,-0.105954,479
Cremer Business Centre,E2 8HD,PureGym London Shoreditch,"1-6 Bateman's Row, London EC2A 3HH",650,9,51.525531,-0.079439,725
E1 Studios,E1 1DU,PureGym London Aldgate,"St Clare House, 30-33 Minories, London EC3N 1DD",650,9,51.512367,-0.0754101,969
Ealing Cross,W5 5TH,PureGym London Ealing,"2-8 New Broadway, London W5 2XA",550,7,51.513314,-0.306225,406
East London Works,E1 1DU,PureGym London Whitechapel,"80-86 Whitechapel Rd, London E1 1JE",350,5,51.5182562,-0.0636092,48
Edinburgh House,SE11 5DP,PureGym London Vauxhall,"Vauxhall Island Site, 100 Wandsworth Rd, London SW8 2JY",650,9,51.475874,-0.132979,1895
Exmouth House,EC1R 0JH,PureGym London Farringdon,"32-36 Saffron Hill, London EC1N 8FH",550,7,51.520616,-0.106818,534
Exmouth House,EC1R 0JH,PureGym London Angel,"29-31 Pentonville Rd, London N1 9PX",800,10,51.532907,-0.111715,919
Faircharm Creative Quarter,SE8 3DX,PureGym London Deptford,"Unit 2, Deptford Landings, Cannon Wharf, Evelyn Street, London, SE8 5RL",550,7,51.48873,-0.038551,1650
Fleet House,EC4V 6AL,PureGym London St Paul's,"15-17 Ludgate Hill, London EC4M 7PR",450,6,51.51414,-0.1031642,175
Fleet House,EC4V 6AL,PureGym London Fleet Street,"2-4 Fleet Street, London EC4Y 1AU",500,7,51.513691,-0.111256,538
Greville Street,EC1N 8SS,PureGym London Farringdon,"1-3 Charterhouse St, London EC1N 6LT",350,5,51.5179333,-0.1072379,276
Highgate Studios,NW5 1TL,PureGym London Kentish Town,"156-158 Kentish Town Rd, London NW1 9QB",850,10,51.546288,-0.141549,888
Holywell Centre,EC2A 4PS,PureGym London Shoreditch,"1-6 Bateman's Row, London, EC2A 3HH",300,4,51.525531,-0.079439,227
Holywell Centre,EC2A 4PS,PureGym London Old Street,"225 City Road, London, EC1V 1JT",650,9,51.5286,-0.092271,1035
Kennington Park,SW9 6DE,PureGym London Oval,"Unit 2, 298-306 South Lambeth Rd, London SW8 1SS",800,10,51.485977,-0.123118,1016
Leroy House,N1 3QP,PureGym London Angel,"338-346 Goswell Rd, London EC1V 7LQ",650,9,51.5306296,-0.1032214,866
Lock Studios,E3 3YD,PureGym London Bow,"Unit 2, 60 Gillender St, London E3 3JX",550,7,51.521132,-0.009798,594
Magenta House,E1 1DQ,PureGym London Aldgate,"88-92 Whitechapel Rd, London E1 1HS",500,7,51.515887,-0.063356,219
Mare Street Studios,E8 3HE,PureGym London Hackney,"298-300 Mare St, London E8 1HE",350,5,51.545306,-0.054939,466
Metal Box Factory,SE1 0HS,PureGym London Borough,"150 Borough High St, London SE1 1LB",550,7,51.50258,-0.092566,383
Metal Box Factory,SE1 0HS,PureGym London Waterloo,"11-15 The Cut, London SE1 8FT",750,9,51.5032026,-0.1068903,699
Mirror Works,E15 2NH,PureGym London Stratford,"Units 1-3, 30-38 Great Eastern Rd, London E15 1BB",500,7,51.543629,0.002028,828
Morie Street Studios,SW18 1SL,PureGym London Wandsworth,"Wandsworth High Street, London, SW18 4FA",550,7,51.443766,-0.193606,1731
Pall Mall Deposit,W10 6BL,PureGym London Ladbroke Grove,"Unit 2, The Ladbroke Grove Leisure Centre, Barandon Walk, London W11 1AS",750,9,51.51911,-0.203729,1145
Quality Court,WC2A 1HR,PureGym London Chancery Lane,"84-86 Chancery Lane, London WC2A 1DL",120,2,51.515944,-0.112071,100
Quality Court,WC2A 1HR,PureGym London Holborn,"127-133 High Holborn, London WC1V 6NP",600,8,51.518438,-0.11449,233
Record Hall,EC1N 7RJ,PureGym London Chancery Lane,"80-86 Chancery Lane, London, WC2A 1ET",550,7,51.515693,-0.112124,660
Record Hall,EC1N 7RJ,PureGym London Farringdon,"33-35 Charterhouse St, London, EC1M 6PX",750,9,51.520797,-0.098508,815
Riverside Business Centre,SW18 4UQ,PureGym London Wandsworth,"Wandsworth High St, London SW18 4JR",650,9,51.457727,-0.196178,1256
Salisbury House,EC2M 5SQ,PureGym London Moorgate,"105 Moorgate, London EC2M 6SD",230,3,51.517744,-0.088848,184
Salisbury House,EC2M 5SQ,PureGym London Aldgate,"15-17 Mansell St, London E1 8AA",750,9,51.513764,-0.073161,993
Screenworks,N5 2EF,PureGym London Highbury,"81-83 Highbury Grove, London N5 1HF",500,7,51.5477022,-0.0983105,423
Southbank House,SE1 7SJ,PureGym London Waterloo,"Unit 2, 85-87 Waterloo Rd, London SE1 8UD",550,7,51.504012,-0.111613,1527
The Biscuit Factory,SE16 4DG,PureGym London Bermondsey,"The Biscuit Factory, 100 Drummond Rd, London SE16 4DG",0,0,51.494066,-0.0631783,142
The Bon Marche Centre,SW9 8BJ,PureGym London Brixton,"422-424 Brixton Rd, London SW9 7AY",450,6,51.464305,-0.114735,116
The Chocolate Factory,N22 6XJ,PureGym London Wood Green,"Unit 1, Wood Green Shopping City, High Rd, London N22 6BA",550,7,51.595222,-0.109262,268
The Frames,EC2A 4PS,PureGym London Shoreditch,"1-6 Bateman's Row, London, EC2A 3HH",280,4,51.525531,-0.079439,198
The Frames,EC2A 4PS,PureGym London Old Street,"335-347 Old St, London, EC1V 9LL",550,8,51.527437,-0.078912,25
The Fuel Tin,SE8 3DX,PureGym London Surrey Quays,"Unit 4, Surrey Quays Leisure Park, SE16 7LL",850,10,51.495399,-0.046937,2468
The Leather Market,SE1 3ER,PureGym London Borough,"152-156 Long Ln, London SE1 4BS",500,7,51.499433,-0.086545,133
The Mall,N1 0PD,PureGym London Angel,"30-35 Farringdon Rd, London EC1M 3JF",750,9,51.519901,-0.105954,1788
The Pill Box,E2 6GG,PureGym London Bethnal Green,"15-23 Bethnal Green Rd, London E1 6LA",550,7,51.524203,-0.073614,1129
The Print House,E8 3DL,PureGym London Dalston,"Unit 2, Dalston Cross Shopping Centre, Dalston, London E8 2LX",550,7,51.547711,-0.074265,166
The Print Rooms,SE1 0LH,PureGym London Waterloo,"150 Waterloo Rd, London SE1 8SB",800,10,51.5025412,-0.1105816,724
The Shaftesbury Centre,W10 6BN,PureGym London Ladbroke Grove,"Unit 2, Ladbroke Grove, London W10 5AA",650,9,51.524208,-0.214282,939
Tower Bridge Business Complex,SE16 4DG,PureGym London Bermondsey,"156-160 Bermondsey St, London SE1 3TQ",850,10,51.498271,-0.081451,1193
Vox Studios,SE11 5JH,PureGym London Vauxhall,"85-89 Albert Embankment, London SE1 7TP",650,9,51.487956,-0.123714,424
Wenlock Studios,N1 7EU,PureGym London Angel,"338-346 Goswell Rd, London EC1V 7LQ",650,9,51.5306296,-0.1032214,675
Westbourne Studios,W10 5JJ,PureGym London Ladbroke Grove,"Canalside House, 383 Ladbroke Grove, London W10 5AA",350,5,51.524208,-0.214282,841
